model,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_test_samples,total_epochs,best_val_accuracy,best_val_loss,final_train_accuracy,final_train_loss,_file
EffAxNetV1,0.821876507477086,0.663809697794472,0.690014381508625,0.671917780714431,0.810584002355682,0.821876507477086,0.814567531490818,8292,56,0.823765873908997,0.0362727530300617,0.828305423259735,0.0364343784749508,metrics\EffAxNetV1_metrics.json
ViT-L16-fe-Xception,0.7721518987341772,0.77147453576025,0.7743421052631579,0.7679450338644638,0.768923922630975,0.7721518987341772,0.7655139583437607,158,50,0.7943037748336792,0.5433828830718994,0.931034505367279,0.2008446902036667,metrics\ViT-L16-fe-Xception_metrics.json
ViT-B8-fe,0.759493670886076,0.7510416666666666,0.7621710526315788,0.7523580586080586,0.7488396624472574,0.759493670886076,0.7498724903788195,158,48,0.7436708807945251,0.6501613259315491,0.8339383006095886,0.3882521688938141,metrics\ViT-B8-fe_metrics.json
Xception,0.7531645569620253,0.7551174447747275,0.7552631578947367,0.7533602019780882,0.7543726847291913,0.7531645569620253,0.7519571978149728,158,50,0.7151898741722107,0.7683432102203369,0.7803992629051208,0.5973595976829529,metrics\Xception_metrics.json
ViT-L16-fe,0.7468354430379747,0.7656517412169008,0.7493421052631578,0.7536961498925334,0.7630274218275833,0.7468354430379747,0.7510847087519326,158,36,0.7721518874168396,0.569421112537384,0.8139746189117432,0.4224225878715515,metrics\ViT-L16-fe_metrics.json
ViT-B16-fe,0.740506329113924,0.7363470750619088,0.743421052631579,0.7370515481822092,0.7345166281519028,0.740506329113924,0.7346724538554016,158,38,0.7594936490058899,0.5643066167831421,0.8820326924324036,0.2745824158191681,metrics\ViT-B16-fe_metrics.json
ViT-S16-fe,0.740506329113924,0.7325711433269573,0.7437499999999999,0.7355024977960622,0.7309120899053193,0.740506329113924,0.7330806399416746,158,28,0.7373417615890503,0.6838300228118896,0.9246823787689209,0.19212625920772552,metrics\ViT-S16-fe_metrics.json
ViT-B32-fe,0.740506329113924,0.729245088433971,0.74375,0.7343987823439879,0.7272896980314573,0.740506329113924,0.731818113703554,158,27,0.7563291192054749,0.6422046422958374,0.9246823787689209,0.19420111179351807,metrics\ViT-B32-fe_metrics.json
NASNetLarge,0.7278481012658228,0.7244560458150481,0.7302631578947368,0.7262972095423152,0.7228205712483352,0.7278481012658228,0.7242746938483308,158,50,0.6898733973503113,0.8088691234588623,0.8203266859054565,0.5103275179862976,metrics\NASNetLarge_metrics.json
ViT-b16,0.7278481012658228,0.7335245164192532,0.7299342105263158,0.7201996321638209,0.7317742587562707,0.7278481012658228,0.7181373884808708,158,47,0.7183544039726257,0.6657863855361938,0.8121597170829773,0.4436630308628082,metrics\ViT-b16_metrics.json
MobileNetV2,0.7215189873417721,0.711710776682235,0.7243421052631578,0.7139318451081873,0.7096052323302656,0.7215189873417721,0.7114323443492621,158,40,0.7310126423835754,0.7409648299217224,0.7259528040885925,0.680241584777832,metrics\MobileNetV2_metrics.json
DenseNet201,0.7151898734177216,0.7039442700156986,0.71875,0.7070119351089341,0.7008296405222265,0.7151898734177216,0.7036277953715918,158,50,0.7183544039726257,0.7312372922897339,0.709618866443634,0.7277252078056335,metrics\DenseNet201_metrics.json
ViT-R26-S32-medaug-fe,0.7088607594936709,0.6871596398770312,0.712171052631579,0.6894525024984468,0.6852134442943468,0.7088607594936709,0.6867564705757659,158,30,0.6677215099334717,0.7209921479225159,0.8103448152542114,0.4427148699760437,metrics\ViT-R26-S32-medaug-fe_metrics.json
ViT-R26-S32-lightaug-fe,0.6962025316455697,0.6913894836261458,0.699013157894737,0.6938355739560559,0.6881672499258952,0.6962025316455697,0.6908039567487485,158,27,0.6930379867553711,0.739719569683075,0.8430126905441284,0.3898259997367859,metrics\ViT-R26-S32-lightaug-fe_metrics.json
InceptionV3,0.689873417721519,0.6811461794019934,0.6921052631578948,0.6815157689581857,0.6798225324866478,0.689873417721519,0.6796995128690488,158,50,0.6772152185440063,0.7354059815406799,0.7613430023193359,0.6032658815383911,metrics\InceptionV3_metrics.json
DenseNet121,0.6835443037974683,0.6781765042634608,0.6865131578947369,0.679787428871373,0.6771297566564491,0.6835443037974683,0.6778438098275507,158,50,0.6867088675498962,0.8152776956558228,0.5898366570472717,0.9363858699798584,metrics\DenseNet121_metrics.json
InceptionResNetV2,0.6265822784810127,0.6151005359602718,0.6286184210526315,0.6145893948539034,0.6136245007563111,0.6265822784810127,0.612755163511724,158,50,0.6170886158943176,0.9054459929466248,0.6542649865150452,0.8320701718330383,metrics\InceptionResNetV2_metrics.json
VGG16,0.6139240506329114,0.6160663737204174,0.6154605263157895,0.6157291229715169,0.6145375669920282,0.6139240506329114,0.6141960472463063,158,50,0.6044303774833679,1.0773060321807861,0.5372051000595093,1.1129151582717896,metrics\VGG16_metrics.json
VGG19,0.569620253164557,0.5543676900584795,0.5710526315789474,0.541300200102378,0.5527241098526907,0.569620253164557,0.5394912086313222,158,50,0.5791139006614685,1.1333829164505005,0.485480934381485,1.1497998237609863,metrics\VGG19_metrics.json
ResNet101,0.4050632911392405,0.44308035714285715,0.4029605263157895,0.3920940170940171,0.4405515370705244,0.4050632911392405,0.3926755382451585,158,50,0.46202531456947327,1.2362765073776245,0.42196008563041687,1.253777265548706,metrics\ResNet101_metrics.json
ResNet50,0.37341772151898733,0.3575155279503106,0.37236842105263157,0.3233068652168108,0.35647142070917526,0.37341772151898733,0.32297902364732295,158,50,0.4430379867553711,1.281082034111023,0.3965517282485962,1.287482500076294,metrics\ResNet50_metrics.json
EfficientNetB0,0.25316455696202533,0.06329113924050633,0.25,0.10101010101010102,0.06409229290177856,0.25316455696202533,0.1022887098836466,158,16,0.2531645596027374,1.3873631954193115,0.21687839925289154,1.4236150979995728,metrics\EfficientNetB0_metrics.json
